활동명,모집기관,봉사분야,봉사기간 및 시간,활동요일,봉사장소,활동내용,요구사항
유기동물 산책 및 놀이 보조,부산시 동물보호센터,동물 돌봄,"2025-11-25 ~ 2025-12-20, 10:00~13:00",화·목,부산광역시 북구,유기동물의 산책을 돕고 놀이 활동을 보조하는 역할입니다.,반려동물 친화적 성향
고양이 보호실 청소 및 사회화 활동,대구 반려동물 복지센터,동물 돌봄,"2025-11-30 ~ 2026-01-15, 14:00~17:00",수·금,대구광역시 수성구,보호 중인 고양이 사회화 및 환경 정리 활동입니다.,고양이 알레르기 없음
유기동물 사진 촬영 및 홍보 지원,경기도 유기동물 입양센터,동물 돌봄,"2025-12-05 ~ 2026-01-05, 12:00~16:00",토,경기도 성남시,입양 촉진을 위한 사진 촬영 및 홍보 지원입니다.,사진 촬영 또는 SNS 운영 경험자 우대
보호소 강아지 목욕 및 위생 관리,인천 반려동물 지원센터,동물 돌봄,"2025-11-28 ~ 2025-12-31, 09:00~12:00",월·수·금,인천광역시 계양구,강아지의 목욕 보조 및 위생 관리 지원.,체력 요구됨
유기묘 입양 상담 보조 및 기록 정리,충남 동물사랑센터,동물 돌봄,"2025-12-10 ~ 2026-02-10, 13:00~17:00",화·토,충청남도 천안시,입양 상담 보조 및 보호 동물 기록 정리.,기본 문서 작성 가능자
유기동물 겨울 대비 물품 정리 및 배치,강원 유기동물 보호센터,동물 돌봄,"2025-11-24 ~ 2025-12-15, 10:00~14:00",목·금,강원특별자치도 춘천시,보호소 방한 용품 정리 및 겨울 대비 지원.,가벼운 물품 이동 가능
동물보호소 병원 이동 지원,전남 보호동물 케어센터,동물 돌봄,"2025-12-01 ~ 2026-01-20, 11:00~15:00",수,전라남도 순천시,보호 동물의 병원 이동 지원.,운전 가능자 우대
보호소 청소 및 사료 급여 보조,제주 동물보호협회,동물 돌봄,"2025-11-26 ~ 2025-12-30, 09:00~12:00",월·목,제주특별자치도 제주시,보호소 청소 및 사료 급여 보조.,책임감 있는 성격
보호 동물 행동 관찰 및 기록,울산 반려동물 복지센터,동물 돌봄,"2025-12-02 ~ 2026-02-02, 14:00~17:00",화·금,울산광역시 남구,보호 동물 행동·성향 관찰 및 기록.,세심한 관찰 능력
동물 보호 캠페인 운영 보조,서울시 동물사랑연합,동물 돌봄,"2025-11-29 ~ 2025-12-29, 12:00~16:00",토·일,서울특별시 종로구,동물 보호 인식 개선 캠페인 운영 보조.,대외 활동 가능자
독거어르신 말벗 및 안부 확인,서울중앙복지센터,이웃 돌봄,"2025-11-25 ~ 2026-01-10, 10:00~13:00",월·목,서울특별시 중구,독거 어르신 방문해 말벗 및 안전 확인.,기본 의사소통 가능자
치매 어르신 프로그램 보조,부산 서구 노인복지관,이웃 돌봄,"2025-12-01 ~ 2026-02-01, 13:00~17:00",화·금,부산광역시 서구,치매 어르신 프로그램 보조 및 정서 지원.,치매 교육 이수자 우대
발달장애 청소년 활동 보조,대구 발달센터 희망,이웃 돌봄,"2025-11-28 ~ 2026-01-20, 14:00~17:00",토,대구광역시 달서구,발달장애 청소년의 활동 보조.,장애 인식 교육 이수자
저소득 가정 방문 정리정돈 지원,광주 서구 사회서비스센터,이웃 돌봄,"2025-12-05 ~ 2026-01-05, 10:00~14:00",수·금,광주광역시 서구,주거 환경 개선 위한 정리정돈 지원.,간단한 청소 가능
시각장애인 이동 동행 및 생활지원,경기도 시각장애인센터,이웃 돌봄,"2025-11-27 ~ 2026-01-15, 11:00~15:00",화·목,경기도 고양시,시각장애인 이동 동행 및 생활 보조.,장애 인식 교육 필수
독거장애인 식사지원 및 주거 점검,인천 남동 희망복지센터,이웃 돌봄,"2025-12-03 ~ 2026-02-03, 12:00~16:00",화·토,인천광역시 남동구,식사 배달과 안전 점검.,운전 가능자 우대
